row	model	en	ru	priceUsd	qty
13	D1-WH	Single Schuko socket with shutter (quick wiring terminal) (white)	Одна вилка немецкого образца (с предохранительной шторкой) (быстроразъемная) (белая)	0,783	4500	1
14	S1-WH	10A 1 gang 1 way swtich with frame(quick wiring terminal)(white)	Один однополюсный выключатель 10 А (быстрое подключение) (белый)	0,680	3250	2
15	S1P-WH	10A 1 gang 2 way swtich with frame(quick wiring terminal)(white)	Один двухполюсный выключатель 10 А (быстрое подключение) (белый)	0,758	500	3
16	S2-WH	10A 2 gang 1 way swtich with frame(quick wiring terminal)(white)	Двухпозиционный однополюсный переключатель 10А (быстрое подключение) (белый)	0,823	2500	4
17	S2P-WH	10A 2 gang 2 way swtich with frame(quick wiring terminal)(white)	Двухпозиционный двухполюсный выключатель 10А (быстрое подключение) (белый)	1,003	300	5
18	USB-WH	10A 3 gang 1 way swtich with frame(quick wiring terminal)(white)	USB A+C с одной немецкой вилкой 85X85 (белая отделка)	3,282	625	6
19	M-D1-WH		Один вставной функциональный компонент немецкого образца (с защитной дверцей) (быстрое соединение) (белый функциональный компонент)	0,707	10900	7
20	M-S1-WH		Один однополюсный выключатель 10 А (быстрое подключение) (белый функциональный компонент)	0,544	400	8
21	M-TV-WH		Телевизор + Компьютер  (белый функциональный компонент)	0,865	400	11
22	P2-WH		Двухпозиционный панельный компонент (белый)	0,417	4150	12
23	P3-WH		Трехмерный панельный компонент (белый)	0,564	600	13
24	P4-WH		Четырехпозиционная панель в сборе (белая)	0,714	400	14
25	D1-GY	Single Schuko socket with shutter (quick wiring terminal) (white)	Одна вилка немецкого образца (с предохранительной шторкой) (быстроразъемная) (серая)	0,975	3500	15
26	S1-GY	10A 1 gang 1 way swtich with frame(quick wiring terminal)(white)	Один управляющий переключатель на 10 А (быстрое подключение) (серый)	0,954	2000	16
27	S1P-GY	10A 1 gang 2 way swtich with frame(quick wiring terminal)(white)	Один двухполюсный выключатель 10 А (быстрое подключение) (серый)	1,037	350	17
28	S2-GY	10A 2 gang 1 way swtich with frame(quick wiring terminal)(white)	Двухпозиционный однополюсный переключатель 10А (быстрое подключение) (серый)	1,149	1000	18
29	S2P-GY	10A 2 gang 2 way swtich with frame(quick wiring terminal)(white)	Двухпозиционный двухполюсный выключатель 10А (быстрое подключение) (серый)	1,338	250	19
30	USB-GY	10A 3 gang 1 way swtich with frame(quick wiring terminal)(white)	USB A+C с одной розеткой 85X85 (резьбовая проводка) (с защитной дверью) (серая отделка)	3,398	400	20
31	M-D1-GY		Один вставной функциональный компонент немецкого образца (с защитной дверцей) (быстрое соединение) (серый функциональный компонент)	0,824	6150	21
32	M-S1-GY		Однополюсный выключатель 10 А (быстрое подключение) (серый функциональный компонент)	0,640	250	22
33	M-TV-GY		Телевизор + Компьютер (серый функциональный компонент)	0,988	225	25
34	P2-GY		Двумерный компонент панели (серый)	0,608	2250	26
35	P3-GY		Трехмерный компонент панели (серый)	0,838	375	27
36	P4-GY		Четырехпозиционный компонент панели (серый)	1,096	250	28
37	D1-BK	Single Schuko socket with shutter (quick wiring terminal) (white)	Одна вилка немецкого образца (с предохранительной шторкой) (быстроразъемная) (черная)	0,975	6000	29
38	S1-BK	10A 1 gang 1 way swtich with frame(quick wiring terminal)(white)	Один управляющий переключатель на 10 А (быстрое подключение) (черный)	0,954	3500	30
39	S1P-BK	10A 1 gang 2 way swtich with frame(quick wiring terminal)(white)	Один двухполюсный выключатель 10 А (быстрое подключение) (черный)	1,037	750	31
40	S2-BK	10A 2 gang 1 way swtich with frame(quick wiring terminal)(white)	Двухпозиционный однополюсный переключатель 10А (быстрое подключение) (черный)	1,149	2500	32
41	S2P-BK	10A 2 gang 2 way swtich with frame(quick wiring terminal)(white)	Двухпозиционный двухполюсный переключатель 10А (быстрое подключение) (черный)	1,338	500	33
42	USB-BK	10A 3 gang 1 way swtich with frame(quick wiring terminal)(white)	USB A+C с одной розеткой 85X85 (резьбовая проводка) (с защитной дверцю) (чёрная отделка)	3,398	875	34
43	M-D1-BK		Один вставной функциональный компонент немецкого образца (с защитной дверцей) (быстрое соединение) (черный функциональный компонент)	0,824	14250	35
44	M-S1-BK		Один управляющий переключатель на 10 А (быстрое подключение) (черный функциональный компонент)	0,640	500	36
45	M-TV-BK		Телевизор + Компьютер  (черный функциональный компонент)	0,988	450	39
46	P2-BK		Двухпозиционный компонент панели (черный)	0,608	5000	40
47	P3-BK		Трехмерный компонент панели (черный)	0,838	1000	41
48	P4-BK		Четырехпозиционная панель в сборе (черная)	1,096	550	42
